Date,Open,High,Low,Close,Adj Close,Volume
4/25/2013,5.37,5.56,5.34,5.38,5.38,12736700
4/26/2013,5.35,5.46,5.22,5.34,5.34,7354000
4/29/2013,5.49,5.59,5.35,5.48,5.48,9695200
4/30/2013,4.99,5.57,4.92,5.4,5.4,24647600
5/1/2013,5.27,5.31,5.05,5.12,5.12,11292200
5/2/2013,5.16,5.39,5.09,5.27,5.27,8301400
5/3/2013,5.35,5.49,5.23,5.26,5.26,8127000
5/6/2013,5.26,5.74,5.25,5.51,5.51,17476500
5/7/2013,5.64,5.91,5.51,5.7,5.7,19626200
5/8/2013,5.73,5.81,5.56,5.64,5.64,13303100
5/9/2013,5.61,5.85,5.61,5.76,5.76,13481000
5/10/2013,5.82,5.87,5.7,5.75,5.75,9098600
5/13/2013,5.7,5.86,5.68,5.82,5.82,10196400
5/14/2013,5.83,6.25,5.83,6.11,6.11,18334200
5/15/2013,6.18,6.6,6.02,6.2,6.2,18962300
5/16/2013,6.35,6.35,5.91,5.96,5.96,14568500
5/17/2013,6.03,6.15,5.96,6.07,6.07,9192400
5/20/2013,6.03,6.27,6.01,6.16,6.16,10151400
5/21/2013,6.24,6.38,6.23,6.32,6.32,9877400
5/22/2013,6.32,6.54,5.87,6.02,6.02,15409500
5/23/2013,5.89,6.25,5.81,6.13,6.13,10710700
5/24/2013,6.11,6.14,5.91,6.03,6.03,5952000
5/28/2013,6.14,6.5,6.14,6.46,6.46,13501900
5/29/2013,6.33,6.47,6.1,6.19,6.19,11037600
5/30/2013,6.21,6.3,6.15,6.21,6.21,9986100
5/31/2013,6.16,6.3,6.15,6.18,6.18,8665600
6/3/2013,6.21,6.35,5.96,6.14,6.14,12388800
6/4/2013,6.14,6.28,5.91,6,6,9309800
6/5/2013,5.96,5.99,5.71,5.79,5.79,9274100
6/6/2013,5.76,5.96,5.54,5.95,5.95,13472900
6/7/2013,5.98,6.15,5.91,6.12,6.12,8267300
6/10/2013,6.23,6.45,6.2,6.37,6.37,10575100
6/11/2013,6.25,6.28,6.1,6.19,6.19,6171300
6/12/2013,6.26,6.35,6.01,6.07,6.07,6646800
6/13/2013,5.98,6.14,5.82,6.13,6.13,6898100
6/14/2013,6.12,6.2,6.03,6.07,6.07,4365100
6/17/2013,6.16,6.4,6.11,6.25,6.25,7817800
6/18/2013,6.28,6.44,6.25,6.44,6.44,5968200
6/19/2013,6.42,6.55,6.32,6.35,6.35,8976500
6/20/2013,6.19,6.21,5.92,6.04,6.04,13529100
6/21/2013,6.06,6.16,5.51,5.9,5.9,23614700
6/24/2013,5.7,5.78,5.51,5.59,5.59,13281800
6/25/2013,5.67,5.93,5.59,5.9,5.9,9867800
6/26/2013,5.98,6.12,5.96,6.02,6.02,6285100
6/27/2013,6.1,6.37,6.08,6.29,6.29,10668600
6/28/2013,6.2,6.25,6.07,6.07,6.07,11319200
7/1/2013,6.19,6.36,6.13,6.15,6.15,5409200
7/2/2013,6.16,6.24,5.97,6.06,6.06,5835700
