Date,Open,High,Low,Close,Adj Close,Volume
11/8/2013,14,14.5,13.26,14,14,1552200
11/11/2013,14,14.45,13.98,14.04,14.04,82200
11/12/2013,14,14.24,13.5,14,14,154700
11/13/2013,13.99,15.24,13.9,14,14,172800
11/14/2013,14.1,14.16,13.91,13.94,13.94,54400
11/15/2013,14.35,14.35,13.95,14,14,58400
11/18/2013,14.25,14.49,13.95,14.1,14.1,61700
11/19/2013,13.96,14.099,13.96,14.05,14.05,21500
11/20/2013,13.96,14,13.5,13.82,13.82,221400
11/21/2013,13.77,13.77,13.75,13.75,13.75,2300
11/22/2013,13.5,14.4,13.49,13.83,13.83,26200
11/25/2013,13.83,14.1,13.76,14,14,15300
11/26/2013,14.13,14.15,13.96,13.98,13.98,14600
11/27/2013,13.95,14.15,13.95,14.15,14.15,23900
11/29/2013,14.15,14.49,13.99,14.04,14.04,17400
12/2/2013,13.82,14.4,13.8,14.02,14.02,18700
12/3/2013,14.08,14.38,13.82,13.9,13.9,8400
12/4/2013,14.11,14.11,13.78,13.78,13.78,6900
12/5/2013,13.78,13.9,13.75,13.76,13.76,3500
12/6/2013,13.93,13.94,13.1,13.1,13.1,10600
12/9/2013,13.5,13.52,13,13.48,13.48,1435600
12/10/2013,13.4,13.45,12.65,12.65,12.65,33000
12/11/2013,12.66,12.68,12,12.19,12.19,45400
12/12/2013,13.45,13.45,12.24,12.24,12.24,37900
12/13/2013,12.17,13.2,11.55,12,12,76600
12/16/2013,12.61,12.88,12.11,12.88,12.88,11200
12/17/2013,12.67,13.15,12.05,12.3,12.3,3265000
12/18/2013,12.45,13.45,12.45,12.84,12.84,108500
12/19/2013,12.63,12.89,12.25,12.37,12.37,131800
12/20/2013,12.86,12.86,12.13,12.13,12.13,1053300
12/23/2013,12.13,13.3,12.09,12.76,12.76,54700
12/24/2013,12.67,12.7,12.45,12.45,12.45,7000
12/26/2013,12.45,12.68,12.43,12.5,12.5,27500
12/27/2013,12.5,12.65,12.22,12.55,12.55,4500
12/30/2013,12.44,12.73,12.21,12.5,12.5,8900
12/31/2013,11.92,12.75,11.48,12.73,12.73,46500
1/2/2014,12.59,12.59,12.09,12.47,12.47,12300
1/3/2014,12.52,12.58,12.15,12.26,12.26,7500
1/6/2014,12.46,12.5,12.24,12.34,12.34,1056200
1/7/2014,12.32,12.49,12.04,12.22,12.22,915600
1/8/2014,12.47,12.49,12.12,12.35,12.35,83600
1/9/2014,12.3,13,12.3,12.4,12.4,50500
1/10/2014,12.49,12.53,12.36,12.5,12.5,14500
1/13/2014,12.57,12.57,12.3,12.5,12.5,29800
1/14/2014,12.42,12.59,12.42,12.5,12.5,14400
1/15/2014,12.55,12.59,12.27,12.29,12.29,60000
1/16/2014,12.47,12.47,12.1,12.16,12.16,49400
1/17/2014,12.08,12.48,12,12.3,12.3,30100
1/21/2014,12.4,12.69,12.03,12.25,12.25,101700
1/22/2014,12.24,12.47,12.07,12.26,12.26,38600
1/23/2014,12.37,12.37,12.2,12.28,12.28,17200
1/24/2014,12.17,12.3,12.07,12.25,12.25,14300
1/27/2014,12.28,12.44,12,12.06,12.06,28100
1/28/2014,12.13,12.49,12,12.05,12.05,40100
1/29/2014,11.88,12.5,11.88,12.15,12.15,86400
1/30/2014,12.19,13.94,12.18,12.18,12.18,10400
1/31/2014,12.11,12.32,12.1,12.27,12.27,84100
2/3/2014,12.47,12.47,12.04,12.2,12.2,18000
2/4/2014,12.21,12.25,12.06,12.09,12.09,23200
2/5/2014,12.24,12.24,12.06,12.2,12.2,44500
